"zone","state","lga","ea","sector","hhid","s15bq1"
4,1,115,670,1,10001,2
4,1,115,670,1,10002,2
4,1,115,670,1,10003,2
4,1,115,670,1,10004,2
4,1,115,670,1,10005,2
4,1,115,670,1,10008,2
4,1,105,0,2,10009,2
4,1,115,670,1,10010,2
4,1,104,1364,2,10011,2
4,1,104,1364,2,10012,1
4,1,104,1364,2,10013,2
4,1,104,1364,2,10014,2
4,1,104,0,2,10015,1
4,1,104,1364,2,10016,2
4,1,104,1364,2,10017,2
4,1,104,1364,2,10018,2
4,1,104,1364,2,10019,2
4,1,106,880,2,10021,1
4,1,106,880,2,10022,2
4,1,106,880,2,10023,1
4,1,106,880,2,10024,2
4,1,106,880,2,10025,2
4,1,106,880,2,10027,2
4,1,106,880,2,10028,2
4,1,106,880,2,10029,2
4,1,106,880,2,10030,2
4,1,111,1146,1,10031,2
4,1,111,1146,1,10032,2
4,1,111,1146,1,10033,2
4,1,111,1146,1,10034,2
4,1,111,1146,1,10035,2
4,1,111,1146,1,10036,2
4,1,111,1146,1,10037,1
4,1,111,1146,1,10038,2
4,4,410,0,2,10039,2
4,1,111,1146,1,10040,2
4,1,102,536,1,10041,2
6,24,2418,0,1,10042,2
4,1,102,536,1,10043,2
4,1,102,536,1,10044,1
4,1,102,536,1,10045,2
4,1,102,536,1,10046,2
4,1,102,536,1,10047,2
4,1,102,536,1,10048,2
4,1,102,536,1,10049,2
4,1,102,536,1,10050,2
4,1,102,1690,1,10051,2
4,1,102,1690,1,10052,2
4,1,102,1690,1,10053,2
4,1,102,1690,1,10054,2
4,1,102,1690,1,10055,2
4,1,102,1690,1,10056,2
4,1,102,1690,1,10057,2
4,1,102,1690,1,10058,2
4,1,102,1690,1,10059,2
4,1,102,1690,1,10060,2
4,1,107,1044,2,10061,2
4,1,107,1044,2,10062,1
4,1,107,1044,2,10063,2
4,1,107,1044,2,10064,2
4,1,102,0,1,10065,1
4,1,107,1044,2,10066,1
4,1,107,1044,2,10067,1
4,1,107,1044,2,10068,2
4,1,107,1044,2,10069,2
4,1,107,0,2,10070,1
4,1,117,560,2,10071,2
4,1,117,560,2,10072,2
4,1,117,560,2,10073,2
4,1,117,560,2,10074,2
4,1,117,560,2,10075,2
4,1,117,560,2,10076,2
4,1,117,560,2,10077,1
4,1,117,560,2,10078,2
4,1,117,560,2,10079,2
