"zone","state","lga","sector","ea","hhid","s15bq1","tracked_obs"
4,1,115,1,670,10001,2,0
4,1,115,1,670,10002,2,0
4,1,115,1,670,10003,2,0
4,1,115,1,670,10004,2,0
4,1,115,1,670,10006,2,0
4,1,115,1,670,10008,2,0
4,1,115,1,670,10009,2,0
4,1,115,1,670,10010,2,0
4,1,104,2,1364,10011,2,0
4,1,104,2,1364,10012,2,0
4,1,104,2,1364,10013,2,0
4,1,104,2,1364,10014,2,0
4,1,104,2,1364,10015,2,0
4,1,104,2,1364,10016,2,0
4,1,104,2,1364,10017,2,0
4,1,104,2,1364,10018,2,0
4,1,104,2,1364,10019,2,0
4,1,106,2,880,10021,2,0
4,1,106,2,880,10022,2,0
4,1,106,2,880,10023,2,0
4,1,106,2,880,10024,2,0
4,1,106,2,880,10025,2,0
4,1,106,2,880,10026,2,0
4,1,106,2,880,10027,2,0
4,1,106,2,880,10028,2,0
4,1,106,2,880,10029,1,0
4,1,106,2,880,10030,2,0
4,1,111,1,1146,10031,2,0
4,1,111,1,1146,10032,2,0
4,1,111,1,1146,10033,2,0
4,1,111,1,1146,10034,2,0
4,1,111,1,1146,10035,2,0
4,1,111,1,1146,10036,2,0
4,1,111,1,1146,10037,1,0
4,1,111,1,1146,10038,2,0
4,4,410,1,0,10039,2,3
4,1,111,1,1146,10040,2,0
4,1,102,1,536,10041,2,0
4,1,102,1,536,10042,2,0
4,1,102,1,536,10043,2,0
4,1,102,1,536,10044,2,0
4,1,102,1,536,10045,2,0
4,1,102,1,536,10046,2,0
4,1,102,1,536,10047,2,0
4,1,102,1,536,10048,2,0
4,1,102,1,536,10049,2,0
4,1,102,1,536,10050,2,0
4,1,102,1,1690,10051,2,0
4,1,102,1,1690,10052,2,0
4,1,102,1,1690,10053,2,0
4,1,102,1,1690,10054,2,0
4,1,102,1,1690,10055,2,0
4,1,102,1,1690,10056,2,0
4,1,102,1,1690,10057,2,0
4,1,102,1,1690,10058,2,0
4,1,102,1,1690,10059,2,0
4,1,102,1,1690,10060,2,0
4,1,107,2,1044,10061,2,0
4,1,107,2,1044,10062,2,0
4,1,107,2,1044,10063,2,0
4,1,107,2,1044,10064,2,0
4,1,107,2,1044,10065,2,0
4,1,107,2,1044,10066,2,0
4,1,107,2,1044,10067,2,0
4,1,107,2,1044,10068,2,0
4,1,107,2,1044,10069,2,0
4,1,107,2,1044,10070,2,0
4,1,117,2,560,10071,2,0
4,1,117,2,560,10072,2,0
4,1,117,2,560,10073,2,0
4,1,117,2,560,10074,2,0
4,1,117,2,560,10075,2,0
4,1,117,2,560,10076,2,0
4,1,117,2,560,10077,2,0
4,1,117,2,560,10078,2,0
4,1,117,2,560,10079,2,0
4,1,117,2,560,10080,2,0
